¹þ·òÂü±àÂë
P=0.10465116279069768  s=000
P=0.05426356589147287  s=0010
P=0.025839793281653745  s=00110
P=0.015503875968992248  s=001110
P=0.015503875968992248  s=001111
P=0.1124031007751938  s=010
P=0.11369509043927649  s=011
P=0.1227390180878553  s=100
P=0.12403100775193798  s=101
P=0.031007751937984496  s=11000
P=0.03488372093023256  s=11001
P=0.0710594315245478  s=1101
P=0.08139534883720931  s=1110
P=0.01937984496124031  s=111100
P=0.02454780361757106  s=111101
P=0.04909560723514212  s=11111
